decision_id,occurrence_id,record_kind,review_priority,confidence,provisional,unit_id,semantic_unit_id,part_title,chapter_title,section_title,source_term_or_construction,intended_sense,chosen_rendering,source_path,source_file_sha256,source_line_start,source_line_end,source_byte_start,source_byte_end_exclusive,source_excerpt,target_path,target_file_sha256,target_line_start,target_line_end,target_byte_start,target_byte_end_exclusive,target_excerpt,reader_status,reader_artifact,reader_artifact_sha256,reader_printed_page,reader_pdf_page,reader_provenance_or_reason,evidence_path,evidence_sha256,please_double_check_question
TERM-SET,ps-Arab-PK-OCC-000001,terminology,high,medium,true,OLP-0003,OLP-0003-B004,,,sets-functions-relations-complete,set,set,سټ,upstream/content/sets-functions-relations/sets-functions-relations-complete.tex,f5eb4b8801890604b79298e46a8327f34ca3bb9ed673d798ec3436d349f22926,7,7,118,150,"\olpart{sfr}{Na\""ive Set Theory}",ps-Arab-PK/content/sets-functions-relations/sets-functions-relations-complete.tex,d772fa8bed6f6492e1088c1b06f92dac23341a6786ae5450093d6d0c7c4b16c5,7,7,118,165,\olpart{sfr}{د سټونو ساده نظريه},pending,,,,,No stable verified line-to-page mapping currently contains this semantic segment; no page was guessed.,evidence/SEGMENT_CANON_USE.jsonl,8b255fbd4cc87bf05c1d8d6412b77321c3f51fdeee8207bb91d66ceadea5b3df,"In Pakistani Pashto mathematical prose, is «سټ» the clearest conventional rendering of “set” while preserving the distinctions in the rationale? If not, what exact replacement and inflected forms should be used?"
TERM-SET,ps-Arab-PK-OCC-000002,terminology,high,medium,true,OLP-0003,OLP-0003-B005,,,sets-functions-relations-complete,set,set,سټ,upstream/content/sets-functions-relations/sets-functions-relations-complete.tex,f5eb4b8801890604b79298e46a8327f34ca3bb9ed673d798ec3436d349f22926,9,14,152,455,"\begin{editorial} The material in this part is an introduction to basic naive set theory. With the inclusion of Tim Button's Open Set Theory, this also covers the construction of number systems, and discussion of infinity, which are not required for the logical parts of the OLP. \end{editorial}",ps-Arab-PK/content/sets-functions-relations/sets-functions-relations-complete.tex,d772fa8bed6f6492e1088c1b06f92dac23341a6786ae5450093d6d0c7c4b16c5,9,11,167,612,\begin{editorial} د دې برخې مطالب د سټونو د بنسټيزې ساده نظريې يوه پېژندګلو ده۔ د تېم بټن د سټونو د خلاصې نظريې په شاملېدو سره، دا برخه د عددونو د نظامونو جوړول او د نامتناهي والي بحث هم رانغاړي، چې د خلاص منطق پروژې د منطقي برخو دپاره اړين نۀ دي۔ \end{editorial},pending,,,,,No stable verified line-to-page mapping currently contains this semantic segment; no page was guessed.,evidence/SEGMENT_CANON_USE.jsonl,8b255fbd4cc87bf05c1d8d6412b77321c3f51fdeee8207bb91d66ceadea5b3df,"In Pakistani Pashto mathematical prose, is «سټ» the clearest conventional rendering of “set” while preserving the distinctions in the rationale? If not, what exact replacement and inflected forms should be used?"
TERM-SET,ps-Arab-PK-OCC-000003,terminology,high,medium,true,OLP-0004,OLP-0004-B004,سټونه، تابعې او اړيکې,سټونه,sfr,set,set,سټ,upstream/content/sets-functions-relations/sets/sets.tex,98a8964a95d72ab3004decdef3ee74f1dd1f221dd06dfc0e6d44eff52104f277,8,8,131,157,\olchapter{sfr}{set}{Sets},ps-Arab-PK/content/sets-functions-relations/sets/sets.tex,d84449acdd79d79bf1f780a29b6ba97596d383ac600e0a7694cb54baf2266144,8,8,131,163,\olchapter{sfr}{set}{سټونه},pending,,,,,No stable verified line-to-page mapping currently contains this semantic segment; no page was guessed.,evidence/SEGMENT_CANON_USE.jsonl,8b255fbd4cc87bf05c1d8d6412b77321c3f51fdeee8207bb91d66ceadea5b3df,"In Pakistani Pashto mathematical prose, is «سټ» the clearest conventional rendering of “set” while preserving the distinctions in the rationale? If not, what exact replacement and inflected forms should be used?"
TERM-SET,ps-Arab-PK-OCC-000004,terminology,high,medium,true,OLP-0005,OLP-0005-B004,سټونه، تابعې او اړيکې,سټونه,د غړو له مخې برابري,set,set,سټ,upstream/content/sets-functions-relations/sets/basics.tex,232ff51f51e74fcfee836650f3c597b54bf10ba5363c648a0c05fe8222e4a865,9,10,149,200,\olfileid{sfr}{set}{bas} \olsection{Extensionality},ps-Arab-PK/content/sets-functions-relations/sets/basics.tex,9ca2b4f92fb03ed1d1f125942ec0b391665722d159dd1f92675ea497b09acc21,9,10,149,220,\olfileid{sfr}{set}{bas} \olsection{د غړو له مخې برابري},pending,,,,,No stable verified line-to-page mapping currently contains this semantic segment; no page was guessed.,evidence/SEGMENT_CANON_USE.jsonl,8b255fbd4cc87bf05c1d8d6412b77321c3f51fdeee8207bb91d66ceadea5b3df,"In Pakistani Pashto mathematical prose, is «سټ» the clearest conventional rendering of “set” while preserving the distinctions in the rationale? If not, what exact replacement and inflected forms should be used?"
TERM-SET,ps-Arab-PK-OCC-000005,terminology,high,medium,true,OLP-0005,OLP-0005-B005,سټونه، تابعې او اړيکې,سټونه,د غړو له مخې برابري,set,set,سټ,upstream/content/sets-functions-relations/sets/basics.tex,232ff51f51e74fcfee836650f3c597b54bf10ba5363c648a0c05fe8222e4a865,12,17,202,544,"A \emph{set} is a collection of objects, considered {as} a single object. The objects making up the set are called \emph{elements} or \emph{members} of the set. If $x$ is !!a{element} of a set~$A$, we write $x \in A$; if not, we write $x \notin A$. The set which has no !!{element}s is called the \emph{empty} set and denoted~``$\emptyset$''.",ps-Arab-PK/content/sets-functions-relations/sets/basics.tex,9ca2b4f92fb03ed1d1f125942ec0b391665722d159dd1f92675ea497b09acc21,12,12,222,685,\emph{سټ} د څيزونو يوه ټولګه ده چې د يوه څيز په توګه ورته کتل کېږي۔ هغه څيزونه چې سټ ترې جوړ وي، د سټ \emph{عناصر} يا \emph{غړي} بللے شي۔ که $x$ د يو سټ~$A$ !!a{element} وي، $x \in A$ ليکو؛ که نۀ وي، $x \notin A$ ليکو۔ هغه سټ چې هېڅ !!{element}s نۀ لري، \emph{تش} سټ بللے شي او په ``$\emptyset$'' ښودلے کېږي۔,pending,,,,,No stable verified line-to-page mapping currently contains this semantic segment; no page was guessed.,evidence/SEGMENT_CANON_USE.jsonl,8b255fbd4cc87bf05c1d8d6412b77321c3f51fdeee8207bb91d66ceadea5b3df,"In Pakistani Pashto mathematical prose, is «سټ» the clearest conventional rendering of “set” while preserving the distinctions in the rationale? If not, what exact replacement and inflected forms should be used?"
TERM-SET,ps-Arab-PK-OCC-000006,terminology,high,medium,true,OLP-0005,OLP-0005-B006,سټونه، تابعې او اړيکې,سټونه,د غړو له مخې برابري,set,set,سټ,upstream/content/sets-functions-relations/sets/basics.tex,232ff51f51e74fcfee836650f3c597b54bf10ba5363c648a0c05fe8222e4a865,19,24,546,816,"\begin{explain} It does not matter how we \emph{specify} the set, or how we \emph{order} its !!{element}s, or indeed how \emph{many times} we count its !!{element}s. All that matters are what its !!{element}s are. We codify this in the following principle. \end{explain}",ps-Arab-PK/content/sets-functions-relations/sets/basics.tex,9ca2b4f92fb03ed1d1f125942ec0b391665722d159dd1f92675ea497b09acc21,14,16,687,1040,\begin{explain} دا مهمه نۀ ده چې سټ څنګه \emph{ټاکو}، د هغۀ !!{element}s څنګه \emph{ترتيبوو}، يا په رښتيا د هغۀ !!{element}s \emph{څو ځله} شمارو۔ يوازې دا مهم دي چې د هغۀ !!{element}s کوم دي۔ دا خبره په لاندې اصل کښې راټولوو۔ \end{explain},pending,,,,,No stable verified line-to-page mapping currently contains this semantic segment; no page was guessed.,evidence/SEGMENT_CANON_USE.jsonl,8b255fbd4cc87bf05c1d8d6412b77321c3f51fdeee8207bb91d66ceadea5b3df,"In Pakistani Pashto mathematical prose, is «سټ» the clearest conventional rendering of “set” while preserving the distinctions in the rationale? If not, what exact replacement and inflected forms should be used?"
TERM-SET,ps-Arab-PK-OCC-000007,terminology,high,medium,true,OLP-0005,OLP-0005-B007,سټونه، تابعې او اړيکې,سټونه,د غړو له مخې برابري,set,set,سټ,upstream/content/sets-functions-relations/sets/basics.tex,232ff51f51e74fcfee836650f3c597b54bf10ba5363c648a0c05fe8222e4a865,26,30,818,975,"\begin{defn}[Extensionality] If $A$ and $B$ are sets, then $A = B$ iff every !!{element} of~$A$ is also !!a{element} of~$B$, and vice versa. \end{defn}",ps-Arab-PK/content/sets-functions-relations/sets/basics.tex,9ca2b4f92fb03ed1d1f125942ec0b391665722d159dd1f92675ea497b09acc21,18,20,1042,1266,\begin{defn}[د غړو له مخې برابري] که $A$ او $B$ سټونه وي، نو $A = B$ هله او يوازې هله وي چې د~$A$ هر !!{element} د~$B$ هم !!a{element} وي، او برعکس۔ \end{defn},pending,,,,,No stable verified line-to-page mapping currently contains this semantic segment; no page was guessed.,evidence/SEGMENT_CANON_USE.jsonl,8b255fbd4cc87bf05c1d8d6412b77321c3f51fdeee8207bb91d66ceadea5b3df,"In Pakistani Pashto mathematical prose, is «سټ» the clearest conventional rendering of “set” while preserving the distinctions in the rationale? If not, what exact replacement and inflected forms should be used?"
TERM-SET,ps-Arab-PK-OCC-000008,terminology,high,medium,true,OLP-0005,OLP-0005-B008,سټونه، تابعې او اړيکې,سټونه,د غړو له مخې برابري,set,set,سټ,upstream/content/sets-functions-relations/sets/basics.tex,232ff51f51e74fcfee836650f3c597b54bf10ba5363c648a0c05fe8222e4a865,32,43,977,1530,"Extensionality licenses some notation. In general, when we have some objects $a_{1}$, \dots, $a_{n}$, then $\{a_{1}, \dots, a_{n}\}$ is \emph{the} set whose !!{element}s are $a_1, \ldots, a_n$. We emphasise the word ``\emph{the}'', since extensionality tells us that there can be only \emph{one} such set. Indeed, extensionality also licenses the following: \[ \{a, a, b\} = \{a, b\} = \{b,a\}. \] This delivers on the point that, when we consider sets, we don't care about the order of their !!{element}s, or how many…",ps-Arab-PK/content/sets-functions-relations/sets/basics.tex,9ca2b4f92fb03ed1d1f125942ec0b391665722d159dd1f92675ea497b09acc21,22,26,1268,2118,"د غړو له مخې برابري د ځينو نښو د کارولو جواز راکوي۔ په عمومي توګه، چې کله ځينې څيزونه $a_{1}$، \dots، $a_{n}$ ولرو، نو $\{a_{1}, \dots, a_{n}\}$ \emph{هم هغه} سټ دے چې !!{element}s ئې $a_1, \ldots, a_n$ دي۔ په ``\emph{هم هغه}'' ټينګار کوو، ځکه چې د غړو له مخې برابري راته وائي چې داسې سټ يوازې \emph{يو} کېدے شي۔ په حقيقت کښې، د غړو له مخې برابري د لاندې خبرې جواز هم راکوي: \[ \{a, a, b\} = \{a, b\} = \{b,a\}. \] دا هم هغه خبره څرګندوي چې د سټونو په پام کښې نيولو پر وخت، د هغو د \psOblique{!!{element}s} ترتيب يا دا…",pending,,,,,No stable verified line-to-page mapping currently contains this semantic segment; no page was guessed.,evidence/SEGMENT_CANON_USE.jsonl,8b255fbd4cc87bf05c1d8d6412b77321c3f51fdeee8207bb91d66ceadea5b3df,"In Pakistani Pashto mathematical prose, is «سټ» the clearest conventional rendering of “set” while preserving the distinctions in the rationale? If not, what exact replacement and inflected forms should be used?"
TERM-SET,ps-Arab-PK-OCC-000009,terminology,high,medium,true,OLP-0005,OLP-0005-B009,سټونه، تابعې او اړيکې,سټونه,د غړو له مخې برابري,set,set,سټ,upstream/content/sets-functions-relations/sets/basics.tex,232ff51f51e74fcfee836650f3c597b54bf10ba5363c648a0c05fe8222e4a865,45,56,1532,2105,"\begin{tagblock}{novice} \begin{ex} Whenever you have a bunch of objects, you can collect them together in a set. The set of Richard's siblings, for instance, is a set that contains one person, and we could write it as $S=\{\textrm{Ruth}\}$. The set of positive integers less than $4$ is $\{1, 2, 3\}$, but it can also be written as $\{3, 2, 1\}$ or even as $\{1, 2, 1, 2, 3\}$. These are all the same set, by extensionality. For every !!{element} of $\{1, 2, 3\}$ is also !!a{element} of $\{3, 2, 1\}$ (and of $\{1, 2,…",ps-Arab-PK/content/sets-functions-relations/sets/basics.tex,9ca2b4f92fb03ed1d1f125942ec0b391665722d159dd1f92675ea497b09acc21,28,32,2120,2891,"\begin{tagblock}{novice} \begin{ex} چې کله د څيزونو يوه ډله ولرئ، هغه په يو سټ کښې راټولولے شئ۔ د بېلګې په توګه، د رېچرډ د وروڼو او خوېندو سټ يو داسې سټ دے چې يو کس لري، او هغه د $S=\{\textrm{Ruth}\}$ په بڼه ليکلے شو۔ له $4$ څخه د کوچنيو مثبتو صحيح عددونو سټ $\{1, 2, 3\}$ دے، خو د $\{3, 2, 1\}$ يا آن د $\{1, 2, 1, 2, 3\}$ په بڼه هم ليکل کېدے شي۔ د غړو له مخې د برابرۍ له مخې، دا ټول هم يو سټ دے۔ ځکه چې د $\{1, 2, 3\}$ هر !!{element} د $\{3, 2, 1\}$ (او د $\{1, 2, 1, 2, 3\}$) هم !!a{element} دے، او برعکس۔ \end{ex} \…",pending,,,,,No stable verified line-to-page mapping currently contains this semantic segment; no page was guessed.,evidence/SEGMENT_CANON_USE.jsonl,8b255fbd4cc87bf05c1d8d6412b77321c3f51fdeee8207bb91d66ceadea5b3df,"In Pakistani Pashto mathematical prose, is «سټ» the clearest conventional rendering of “set” while preserving the distinctions in the rationale? If not, what exact replacement and inflected forms should be used?"
TERM-SET,ps-Arab-PK-OCC-000010,terminology,high,medium,true,OLP-0005,OLP-0005-B010,سټونه، تابعې او اړيکې,سټونه,د غړو له مخې برابري,set,set,سټ,upstream/content/sets-functions-relations/sets/basics.tex,232ff51f51e74fcfee836650f3c597b54bf10ba5363c648a0c05fe8222e4a865,58,62,2107,2383,"Frequently we'll specify a set by some property that its !!{element}s share. We'll use the following shorthand notation for that: $\Setabs{x}{\phi(x)}$, where the $\phi(x)$ stands for the property that~$x$ has to have in order to be counted among the !!{element}s of the set.",ps-Arab-PK/content/sets-functions-relations/sets/basics.tex,9ca2b4f92fb03ed1d1f125942ec0b391665722d159dd1f92675ea497b09acc21,34,34,2893,3284,ډېر ځله به يو سټ د يو داسې خاصيت په وسيله ټاکو چې د هغۀ !!{element}s ئې په ګډه لري۔ د دې دپاره به دا لنډه نښه کاروو: $\Setabs{x}{\phi(x)}$، چې پکښې $\phi(x)$ د هغه خاصيت استازيتوب کوي چې~$x$ ئې بايد ولري، څو د سټ په \psOblique{!!{element}s} کښې وشمېرل شي۔,pending,,,,,No stable verified line-to-page mapping currently contains this semantic segment; no page was guessed.,evidence/SEGMENT_CANON_USE.jsonl,8b255fbd4cc87bf05c1d8d6412b77321c3f51fdeee8207bb91d66ceadea5b3df,"In Pakistani Pashto mathematical prose, is «سټ» the clearest conventional rendering of “set” while preserving the distinctions in the rationale? If not, what exact replacement and inflected forms should be used?"
